file_path,transcription,topic,topic_probability,nouns,probabilities
芸人やってたやつが音楽のライブやるってなった時に
ある程度のクオリティには行かんとやっぱあかんやろ
ほんま
いや緊張してたけどでもあのEYESのライブを
まあタイマーやからちょっと先に見さしてもらって
俺袖から見ててんけど
あのEYESはね2回ぐらい見たことあるんですけどライブ
えー1年前のなんか音楽フェス?
東京バズフェスティバルみたいなやつでEYESやってた
袖から見たのとジャパンジャム
はあの客の後ろから見たけど今日一番よかったな
いやほんとお客さんもね優しくてというか
ほぼほぼすしののファンではあったと思うんだけど
それでもやっぱ知らない曲があるけど
多分すっごい一緒にねノリノリで
いやパフォーマンスよかったからやでそれ
そのお客さんがいいって言ってくれるけど
曲もよかったしパフォーマンスがよかったから盛り上がってくれて
なんか調子狂うな
なんかこんな真面目モード
いやもうしゃあない3時やろ
ええねんなんでも
ほんとに僕周りみんな泣いてた
マジで
みんな泣いてたねMCもよかったし
",83,0.1100131943821907,"['ライブ', '現地', '映像', '光景', 'ひかり', 'MC']","[0.795279, 0.12569395, 0.059457414, 0.010402372, 0.0027251835, 7.418978e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_1.wav,"MCからのね曲の繋ぎ方というかそこもみんな泣いてたね
ノンマ
マジマジ
さっきがそれもすごいのがやっぱMCでなんかセクションが
セクション
なんかMCが何箇所かあんだけど全部笑いとってくから
なんかさっきまで笑ってたのに今泣いてるみたいな光景がめっちゃよかったけど
いや悩んでんねんなそのMCで
いや笑わせなくてもいいぐらいの音楽のライブのクオリティだったから贅沢って思って
こんな良いライブできて
いや漫談の出来は良くなかったでほんで
まあ言ったらなんか本気じゃないっていうかめっちゃお笑いのステージじゃないじゃんそこは
いや結構でも一群ぐらいな
でもすっごいあのそこの強弱っていうか何だろうそのアーティストにできないことやったよなってめっちゃ思った
あのあれやで毎回そのソロ
ソロの時結構ね私は毎回あのちゃんの曲泣いてしまうよ
特にあの涙君とかあと譜編とかもまあええわな
いやあの永遠衝動
あれ良すぎるしまああと俺はかねてから言ってるけどムルムルも好きやし
ハッピーエンドロール
ハッピーエンドロールの
いやオートだから
オートオートかい
ハッピーエンドロールのあの何歌詞
ねえ何ですか猫が何でしょう
なんかあのシーメロっていうのかななんか最後サビに入る前のところのメロディーの歌詞が結構なんか今までの人生の中でいろんなこと起こったこととかそれを消化できないこととかを詰め込んでてまあなんか僕が君が僕のものじゃなくなった時とか
そういう歌詞がバーって詰め込まれて最後あのエンドロール
伏線回収大量発生最終回エンドロールには君の名前を刻もうってサビが入るんだけどその中の間になんか歌っててああこれすしなちゃんって思って
",71,0.28812161087989807,"['歌詞', '未来', 'リハ', '機材', 'ソロ', '世界観', 'サビ', 'クオリティ', '需要', 'ゴリ']","[0.2776704, 0.2640314, 0.1393767, 0.07736536, 0.048900288, 0.0479526, 0.02956007, 0.027190251, 0.024970029, 0.02336384]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_1.wav,"あのお父さんがあの時死んだ時って
ちょっとエモエモすぎない
いやもう僕もそれを考えてなくてもうなんか歌いながらなんか歌ってたら顔が浮かんだ
え俺の父ちゃんの
あ知らんか俺の父ちゃん
なんか失ったり守ったりしてきた人なんだろうなって思って
凸さに入ったやん
凸さだからもうちょっとね先に考えたときは元できたかもね
凸さだったからそれしか入れてないけど
凸さがよかったよ凸さがゆえのシャウトやったやろだって
叫び口調で言ってたもんな
いやあれはちょっとよかったしなんかそうやな曲とか
ライブとかライブが良くてやっぱなんか出るなあナミダ
ライブ中
めっちゃあののライブ見ててもそうやし
であとやっぱなんか本格的やなって改めて思ったな
音楽が
でほんま爆笑したけどあの何リハ終わり
ちょっとだけそのあのちゃんの足元見に行って
こんななんかギターのエフェクターがいっぱい並んでて
まあ何やろブルースドライバーボスの
なんか定番のロックの定番みたいなやつあって
で隣にイコライザーなんかこうやるやつ
その横にビッグマフ
ビッグマフ
ビッグマフ一撃
ビッグマフ
ファズ系やで
ディストーションとかオーバードライブいろいろあるけど
ファズやからなビッグマフって
本当に超歪むやつねビッグマフも
ブワーンってなって
ハッピー&ロールのそこもビッグマフ踏んで
あーそうビッグマフ踏んでくれた
であの君の名前を刻むのとこだけ
キーってやって君の名前を刻む
なんか機材も詳しくないから僕はエフェクターとか
いやビッグマフ使う人なの?
あははは
だって俺も今回ライブする時に
導入を検討したのビッグマフ
あの全く同じやつや正方形ぐらいのでかいやつ
お弁当箱みたいなやつな
ていうかちょっとちゃうかなってなって
いやーそうそうちょっとノイズっぽいとかなんかはっきりしない音でもあるから
しかもまあゆうた2本目のギターやもんな
名前中山さんのメインというか
ビートとこう
バッキング的な
ビッグマフ
本格的やった
いやライブもめっちゃ良かったよ
いやもうエフェクターで言うと
メッチャ買ったんじゃね?
メッチャ買った
何合わいうこと?
いやほんま10個ぐらい買ったよ
オクターバーだけ
まあそのマーシャルだけで
でもすごいギターの音
暑いとかじゃなくて
コード端折って
リード2指スタンバイとかしてたよ正直
まだ2回目とかで
すごいバンド生まれた
ビームもカバーしてくれて
バイバイ
ビームが打てたらいいのに
低いミスった
ミスってない
キー上げればよかった
原曲リスペクトみたいなんで
ビームよかったな
曲がいいの
なんか本当曲が良すぎて
もう全部何曲やった今日ライブで
今日は8曲ぐらいかな
このさ全部いいの
アルバムありがとうございます
今日ライブでやったギャグもほんと全部良くて
もう僕ずっとフロアで見てたよ
なんか見たそのファンのツイートで
隣アノちゃんやったの
めっちゃなんか歌詞も完璧に歌えてて
アクチルダウンだった
そうそうそのビームもめっちゃ練習してきてくれたんやろなーみたいな
うるせぇよ練習せぇよ
そんなんいいね
嘘なし今日
嘘なし嘘なし今日はもうそういう感じにしようや
嘘ばっかついてるからね
いやビームはよかった
叫んでたとこもよかったし
なに一人で歌うのむずすぎるから
そうやなそうやな
ここはもうあの節で言ってくれた感動したな
まさか俺があのーなにそのビームが打てたらいいのにってボカロ曲を作った時
あのちゃんにバンドで歌ってもらえるなんてって
あの曲は今回バンドで出す
ほんまですか
MCも熱かったな
僕はもうMCはいいよ
いやMCなんかどえらいこと言ってたやん
ゆめきええねん
まずそのなんかさん付けがねえエモいの
嘘つけ
そしなさんってなんか言うてメンバーの人に言ってもらえないのかよ
前田さんに初めて聞いたよみたいな
さん付けのリスペクトすごいねみたいな言われてたやん
やっぱそれリスペクトですか
そしなさんはあの本当になんかチートとか使えるのに使ってないのがすごいみたいな言ってくれてたよ
川谷絵音とかなんかチート使えるのに使わないのがすごいって言ってなんか
川谷絵音さんとかまあだけじゃねえもちろんいろんな
えその川谷絵音まず川谷絵音のことが嫌いってこと?
川谷絵音さんとかいろんなあのすごい人たちとできるぐらい売れてるてかすごいじゃんそしなさんが
で川谷絵音さんもすごい人
だからそうやってタッグとか組みがちじゃないですか
僕がそしなだったらそういう風にやっちゃうかもなみたいな
やってもいいって言い方だってやる方がええやろ
やる方がいいんだけどそこを忙しいのに全部作詞作曲自分でやってんのとかは本当にすごいと思う本当にもうストレートに思ったからやっただけで
タイないからね
でさお笑いとかもちゃんとショーとか全部立てるし
いろんなお仕事してる中で手抜くことなく音楽もやってんのはすごいですよって話
お疲れ
何がお疲れ
お疲れ
これ毎回ごめんそのどんぐらい喋ってんの最初
はい今週も始めていくぜアナのオールナイトニッポンゼロ
はい生放送ですので番組ではラジオ聴いている方からもメールで参加してもらいたいと思いますリアクション・感想メールお待ちしています
はい生放送ですので番組ではラジオ聴いている方からもメールお待ちしていますリアクション・感想メールお待ちしています
受け付きメールアドレスアナ&アナア e
エックス&アナe
さてこの番組はライブ配信アプリのいちなんだでも日本ホース関西支社のスタジオというか会議室のライブ映像とともに同時生配信でお届けしています
同時生配信でお届けしています
配信でお届けしています
177アプリをダウンロードして
オールナイトニッポンゼロのアカウント
誰のアカウントに見れるのか
無料で見れることができます
オールナイトニッポンゼロ
なんか変な汗かいてくる
ベールを剥がしていく
謎に包まれてるベールを
ガチムチでじゃあお願い
なんでガチムチで
ガチムチ
ガチムチで行きましょう
音楽でね
ここで一曲
初心者で",93,0.15472520887851715,"['日本', '舞台', '日本放送', '生配信', 'タイ', '全国', '届け', 'リアクション', 'アカウント', '有楽町']","[0.27071622, 0.15218793, 0.1324619, 0.06389124, 0.061941158, 0.04422556, 0.043269075, 0.04050228, 0.032970347, 0.032759108]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_3.wav,"サイトを今すぐチェック
アナのオールナイト日本ゼロ
アナちゃん
アナです
ゲスト引き続きソシナさんです
ラジオネームコールマンさん
今日ソシアナチュウ大歓喜
ネット大爆発のラジオじゃないの
クイックジャパンの対談じゃん
ライブ後だから
ライブ後やから
熱なってんね
もっともっといっぱいいっぱいライブしてほしい
ああほんま
フェスとかも出てほしい
いやいやライブもしたいな
ただ最初はやっぱ舐められる
絶対舐められの対象にはなる
音楽界隈であったら
それはもう初心者ですから
ラジオネーム
町田の不動産屋さん
対話ツアー初日最高でした
最前列のド真ん中で見させてもらって
曲も歌詞も全部が全集に響きまくりでした
マジで二組ともクソほどかっこよかったです
そちらの最高
最前列の真ん中
",83,0.13140258193016052,"['ライブ', '現地', '映像', '光景', 'ひかり', 'MC']","[0.795279, 0.12569395, 0.059457414, 0.010402372, 0.0027251835, 7.418978e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_3.wav,"顔どうなんだろうね
町田の不動産屋さん僕たち見えてたかな
最前列の真ん中男の子じゃなかった
なんか合図のタオルしてる人の横に
粗品のタオルしてる二人がおったけどな
だから町田の不動産屋
最前列見れたらもういいなあ
いいね
端っこのスタッフ席で見た
すごくなんか動画
あのちゃんが俺のライブを見てる様子を撮ってくれた動画
マジでめっちゃバレたよ
めっちゃ頭振ってたし
ローガイ
よくにまみれたローガイよ
よくにまみれたローガイのとこ
ギャー
ウワー
あのほんまよかったな
なんかさほんま歌うまいよな
歌うまくないよ
俺はねあのちゃんの歌がうまいっての
音程の当て方がな
うそ
いやほんま
ライブ
ライブを結構見てるけど
あの生歌
ライブ感も残しつつ
",83,0.156806081533432,"['ライブ', '現地', '映像', '光景', 'ひかり', 'MC']","[0.795279, 0.12569395, 0.059457414, 0.010402372, 0.0027251835, 7.418978e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_3.wav,"音程も当てて
3つのバランス
結構むずいぞ
ライブによりすぎて
音程めちゃめちゃ
音程バチバチ合ってるけど
なんかライブ感ないな
いやその三角形えげつないよ
なんか歌姫とか
もうマイク一本で勝負しますっていう
人のタイプではないんやと思うけど
ライブ
ライブ歌はかなり
トップクラスに
ようパンパンって当ててくな
ソロの時とかもバチバチ音
バチバチ合ってるし
バンドの時は
ギューやもんな
バンドはもう動きすぎてちょっとね
いやそれ体力えぐないほんであなた
いやわからん
体力えぐい確かに
4曲連続で歌ったりもしてるやろ
ほんま
体力えぐいな
体力ほんとえぐい
体力つけたほうがいいよ
ジムとか行ったほうがいい
ジム行ってんねん最近
パーソナルジムやけど
このためにライブのために
えーえらいらいらい
ロックロックロック
1回1時間弱で3万円
たか
でも体力すごいなぁ
体力は…そうね
ライブで
体力追ったかも
マシンガンピッキング
技法
グルルルルルルルルルル
グルリリリリリー
右手
",27,0.2718752920627594,"['子供', 'パンパン', '体力', '右手', 'とこ']","[0.83033437, 0.0627754, 0.04684868, 0.04199871, 4.514356e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_3.wav,"ウソない
ブヤーッてやつ
俺 tahu すっごいこわそう
すごくThe右手
マシンガンピッキングめっちゃいいよ
ビームもそれであったよ
やってた?サビやろ
トゥルルルルルルル
ほんでなんか1サビ終わりビームみたいなの出した?
フェーみたいな
いやなんかあれビーム出た?みたいな
いやーあのピッキングもそうやし
ちゃんとギター弾けてるからな
恥ずかしいアーティストじゃないんだよ僕
とこねぇねんお前
めちゃくちゃアーティストやないかお前
何?何照れとんねん
なんか調子来る
あのーほんま
一番アーティストやろお前が
いやいやアーティストですよ
ほんまになんやろ
まぁまぁでもこのラジオ
あのちゃんがアーティストだということは
やっぱなテレビにも山ほど出て
バラエティーも出て
まぁ映画もですか
ドラマ声優もやって
やっぱアーティストやで
うん音楽家やなって今日思ったよ
嬉しいでもライブはやっぱ楽しいな
まぁせやろな
やっぱライブ
音楽も音楽って言うかね
制作とかも楽しいですけどもちろん
やっぱライブ楽しいね
えライブかな仕事ではないけど
でもライブはやっぱやばいな
えライブやばい
スイッチ入っちゃう
そしなもんでもあのベース
ふりもとひかりさん
浦野きしなみさん
でさやっぱスリーピースやで
ベースの良さとか凄さを今日めっちゃ感じたもん
あぁほんま
いやぁまぁ音が少ないからなぁ
ちょっとあのリズム隊の2人にはもう
ほんまにお世話になりっぱなしやけど
いや音少ないって言いながらやっぱでもギターとかでさ
ほんま
えぇほんま
え凄かったよ音
ほんま
ライブだなって思った
えぇ
ライブやばってなって思った
違うな印象
あ音源と
まぁまぁまぁそうやな
ライブやもんな
クッケェな
初はそう?
いやいや3人でやってるからな
スリーピース?
スリーピースって
スリーピースやで
スリーピースはミス目立つかも
いや今日もだって何回かミスってるしなほんとに
うーんそれもやっぱむずいわ
ミスな全くないライブも別にそういうタイプじゃないんじゃない?
ドラムとベースが
その達人なおかげで
",83,0.2580436170101166,"['ライブ', '現地', '映像', '光景', 'ひかり', 'MC']","[0.795279, 0.12569395, 0.059457414, 0.010402372, 0.0027251835, 7.418978e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_3.wav,"音が分厚くも聞こえるし
これ完璧?
見えんだ
だってベースもドラムも完璧で
即した曲自分で
めっちゃ良い曲しかないわけじゃん
でMCも面白いじゃん
ほんま
で美女もリュークじゃん
あかんなの?
だから最高じゃない?
美女だけ足りてない?
死神やぞあいつ
だからこれ新しいしもう完璧
僕はIZをやってて2,3年やっててバンド
やっぱり本音で言うと
本当にIZを結成する時に
もともと僕バンドがやりたくて
ただいろんな意向でできなくてソロをやって
でもやっぱどうしたんバンドがやりたいと
正直自慢性にブチ切れたの僕は本当に
絶対もう自腹で何でもいいんでもう関わんないんでいいんで
インディーズでもいいんでバンドやりたいですって言って
でもそれでバンドを始めて3年ぐらい経つけど
やっぱりバンドができてることはすごく幸せで嬉しいんですけど
音とかこうしたいこうなりたいと理想を突き詰めていくと
やっぱりそことの乖離理想と現実の
あの差とかもどんどんどんどん出てくるパターンもあるし
そこをやっぱりあの最初からできないってのは分かってたんだけど
やっぱ3年経ってもやっぱり僕の理想まではやっぱ届かないもんね
だからやっぱ音のこだわりとかそういうとこも突き詰めて
これしめ応援してます
バンドのその音色とかアンサンブルが
まだ理想じゃないんや合図って
僕は理想にまだ行けなくて
でもそれは自分の技量とかだったり
メンバーとのコミュニケーションの分析とかもあるので
へえそうなんやあんまね語られてこなかったというか
で事務所にブチ切れながら始めたとか
で結局事務所とかやらしてもらえてないやろ
自主レーベル
自主レーベルですね
あいづってそうやんな
そうかそうかクリーンになってると
じゃあやっぱバンド同士もやりたいって思ってたのなんでの
バンド好きだから
音楽をゼロからバンド
スタジオに入って作っていくってこともやってみたかったっていう
もともとアイドルやっててそれはなかったから
3人ぐらい3、4人いるとダメだねもう
社交性ないから
グループ自体もそれでダメなとこもあったから
じゃあそのソロでやってるのにバックで
まあ今もソロさ
ドラムとギターおるやん
性格的には
まあそうかもしれない
性格はねやっぱりバスケ部もタイプしましたし
あの陸上部ハードルだけはもう1位取ったり
なんかもうそういうタイプなの
個人競技すごい人
だからもうとにかくコミュニケーションができなくて
ちょっと泣いちゃうんですよコミュニケーションできない
グループそうやなまあグループはむずいわ
ちゃんとスタジオめちゃくちゃ入ってたやつやん
いやいやそんな初めてやから
ライブはやらなあかんけど
そうかグループ向いてない
まあそんなこともないと思うねんけどなほんまは
いやいや本当にコミュニケーションが嫌だから
暗いなあでもスーパーフロントマンやからなあでも
えっと3ピースがやりたかったんですか
ああそうやな3ピースがやりたかったな
あの現まあそうやなその今の現代音楽みたいな
流行ってるのが結構やっぱ音数多い
のが俺もめっちゃ好きやねんでもそれ
アンチじゃないけど
なんかボカロとか今までやっぱ一杯作ってきてたから意外だったかも
ああほんま
3ピースで
いや4人でギターを入れてもいい説もあんねんけど
俺が歌に専念してみたいな
しばらくは、ギター弾きながらにしようかなって練習して
やっぱあのちゃんもギター持っておいて欲しいしな
うん、ギターね
あのグレッチのやつ
SGとグレッチ使ってます
え、なに金のギター?なんか高いらしいね
あれ高い?あれ150万円すんね
やば、それをライブで使ってんだ
いやいやなんかロケでフェンダーの原宿の行って、お店
で普通にその高級ギター売り場みたいなの見せてもらって
でその時にはな、もうアルバムを作るとか決定してて
ギターな、どうしようかなと思ってた時やったからちょうど
で買った理由は一目惚れかな、音とかじゃなくて
数千何百万出すのすごいね、お金まずみんなに返した方がいいよ
時計もだってなんだっけあれ、いくらだっけ?
いやー、あれ800万円の時計
やばすぎる、800万円の腕時計ライブ中つけんな
今ホテルに置いてある
日本放送の人間なんかな
手癖悪いやつしかおらんねんから
いやいや、あれも800万円の時計、これもロケで買って
え、お金どうしてんのマジでって
800万はどこにあるの?返さないのみんなにお金
吉本さんとかに
吉本はでも毎月定期的に返してる
でもさ、お金なくなってわーみたいなのやってない?
それは?その時はお金ないの?
で、また稼いで、じゃあ800万できたからお時計買ったってこと?
いや、借りてギャンブルしてなくなってわーってなって
あの800万も借りて、で、時計買った
時計買うって言ったらすぐ貸してくれた
全然大丈夫
キンキラ
うん、このTシャツのね、文字も金で
あー、なるほどね、その、そのTシャツは誰が変えたの?
え、このTシャツのイカしたイメージ?
このイカしたデザイン?
そのダザイン
ダザイン?おさむみたいな
ダザイン
おさむみたいなような、あ、俺ですけど
スターライト、アイデンコーズ、アンドコーズ
あー、英語にしてんのね
制裁と大義のアリアの映画、俺が書きました
制裁と大義のアリアってすごいタイトルだよね、それにしても
好きだ、全部ソウルのタイトルが
ゲームみたい、チューニング
そうそうそう、東宝プロジェクトがあんねん
俺の好きなカルチャーの
いや、僕タイムトラベルマシンガン手伝ったの
マシンガン、曲マジ、これめちゃくちゃかっこいい
この曲名付いてないときに、その、何?マスタリングしたやつを聞いてもらって
どんなんがいいかな、曲名みたいな相談して
こんなんないけど、軸を超えてる感じ
時間軸が歌詞に結構出るから、それ系は入れたらいいんじゃないかって
あとサビで、マシンガンをぶっぱなしてるみたいながイメージできた
そう、マシンガン撃ちまくってるイメージで
イメージがあった、曲聴いて
そういうの入れたなって言われたから、タイムトラベルマシンガンにしました
あ、ほんま?
いや、ほんとにいいね
どっちもね、本気でやってるのがやっぱ、届くっていう
あー、それはちょっと今日思ったな
好きだからやる
好きだからやるよ
そうそうそう、キモい人が周りに多いから
今、えぐいんちゃう、周り
もう、何言ってもネットニュース
宮迫さん、ごめんなさい
宮迫さんに言ってないものまで、それに考え付けられたりしてるから",97,0.17901743948459625,"['バンド', '事務所', '同士', 'バスケ部', 'ドラム', '自腹', '性格', 'むずいわ']","[0.33925948, 0.3372032, 0.13557634, 0.065148585, 0.05341145, 0.047027726, 0.011446441, 0.00020539187]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_2_1.wav,"アンノです
ゲストは引き続きソシアノ
ラジオネームのロシさん
この番組
尾崎世界観さんも
ミネタカズノブさんも来たことあるけど
一番熱くてしっかり音楽の話するのが
まさかソシアノになるとは思いませんでした
あのANN0ファンとして
確かに尾崎さんもミネタさんも来てるんですけど
全然アーティストラジオにならなかったね
いやいや今日はマジで
ボケゼロで来てるからな
ソシナがずっとお笑いしちゃう
何回も我慢したで
ミネタカズノブ
あれあれカズノブって言うんやあの人
ミネタさん
ミネタの知らないまま知ってるやつもおらん
ラジオ知ってます
ラジオネーム真っ赤のミサンガさん
一緒に曲を作ったりなど考えてますか
また曲を作るならどういう曲を作りたいですか
一緒に曲
ソシナが作った曲を
ほんま
新曲のタイミングって
何かのタイミングでやってもらえな
一緒に
本当にソシナの曲ボカロゲの曲も全部好き
歌える曲何曲かある
埋めるあおり
うんいいね
いや音楽なんかまだ話してって感じだっぽいよだから
うんいやちょっとほんまにあのー
熱いね空調下げてください
ここどここれほんまに
なあエグいな
本当に会議室じゃん
ブリーゼブリーゼって知ってるこの建物
あの大阪でめっちゃ有名な
",19,0.11319801956415176,"['私たち', 'タイミング', 'あの日', '本番前', 'ニッポン', '尾崎', 'とこ']","[0.56635106, 0.3233928, 0.04597015, 0.036950476, 0.017969465, 0.00079152535, 1.0823599e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_2_1.wav,"綺麗ななんか商業施設みたいな
なんか下雑貨屋もあれば
服屋ブランドあるし
飯屋もレストランもあって
33階になんか展望レストランみたいな
でえー芸人が営業で来た時とかもめっちゃなんかすごい高級感溢れる
すすごい何やろな先進的な建物やねここ
ブリーゼブリーゼにこんなとこあんねんや
ここですブリーゼブリーゼは
日本をその関西支社ここにあるんすね
スタジオちゃうがなここ
気持ち悪うしろね
俺の後ろこんな絵飾ってさ
今日ほんまにこの何やろライブもやってでめっちゃ良くて
何それでいいよ
過小評価をかかる
過小評価されとんなこいつ
世間からのこう何
注目度も関心も
歌もいいって言ってもらうやろし
バラエティ出たら面白いって言ってもらうの
で言うてもそのアンチがおってとか
まあバカにされることも多いって
割合で言うとやっぱいい方が多いや
9位1位ぐらいちゃうか
なんか番組終わり英語指しての反応
9割が褒める
1割があかんみたいな
それでも過小評価やな
皆さんが今見てるあのちゃんってね
俺が仲いいから知ってんねん
マウントっていう話じゃなくて
って評価するだけじゃなくて
それこそ音楽の話は音楽の話
じゃあ声優業の話は何
声優経験がないのに
デデデデのあそこの演技はすごいよかったって
もっと声優が言うべきやろあれ
音楽のことも
",88,0.09811630100011826,"['音楽', '立場', 'たけし', '自己紹介', '吉本', 'ジャパン', '顔つき', '売り場', '日本', '歌詞']","[0.75833875, 0.07596274, 0.06583735, 0.036946353, 0.033389624, 0.020577291, 0.00027190114, 0.00018649489, 2.340672e-05, 2.005867e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_2_1.wav,"もっと音楽すごい人が
もっとあのちゃんの音楽のことを
一般の人に咀嚼して伝えなあかん
そうだから過小評価やねん
俺が言えんのはやっぱお笑いの部分とか
まあちょくちょくいろんな媒体でも言ってるけど
まあトークもできるし
ツッコミもできるしみたいな
それ各業界のやつもっと言えよって
",88,0.18663132190704346,"['音楽', '立場', 'たけし', '自己紹介', '吉本', 'ジャパン', '顔つき', '売り場', '日本', '歌詞']","[0.75833875, 0.07596274, 0.06583735, 0.036946353, 0.033389624, 0.020577291, 0.00027190114, 0.00018649489, 2.340672e-05, 2.005867e-05]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_2_1.wav,"でも点差言われへんねんあんまり
カリスマはねあんまり言われないんですよ
嫉妬の対象やから
だから過小評価にとどまってしまうんですが
ファンの人には
今声大きいのよ何言っても
俺の言うことってもうほんま日に日に
何言ってもネットニュースなるし
毎日LINEニュースの上
俺の嫌な顔出てくるし
YouTube毎日更新して
この間なんか自己紹介ギャグみたいなんで
どうも神田博さんおもんない
粗品ですみたいな
それがまた素子な冒頭でいきなり
大御所ディスみたいな
エグ
もうエグいとこまで来てんねん
俺の声今大きいねん
この大きい声俺は
あのの魅力を伝えるのに使いたい今日は
大好きじゃん僕のこと
悪口人の悪口とか
この俺の声の大きさを
世間が理解をしてる風で
なんかまあ叩きも褒めも全部含めだけど
それはまあ全然僕のことは理解してないと思う
まあ叩きはまだ分かってないけど
そう全然俺のこと知らんのに叩きやがっては普通なんですけど
なあいや違うそういう言われ方で褒められるの一番ムカつくねんもあるやろし
なんかなんやろなその結構我慢するタイプやん
あんねんポーカーでもな
",55,0.1508152335882187,"['業界', '出演者', 'カリスマ', '悪口', 'ライバル', '媒体', '粗品', '陽子', '関根', '女性タレント']","[0.40652466, 0.22256698, 0.18596932, 0.09438375, 0.042187218, 0.002809224, 0.001393298, 0.0012813694, 0.0011975766, 0.00078065926]"

./././Data/test_data/mid_presentation/ano\20240626\split_audio_2_1.wav,"その最後2人に残ってな全員が降りていって2人の勝負になった時に手札を見せ合うねん2人
なそれでどっちが強い役かって勝負すんねんけど
そん時にちょっとさっきめくってって言うやつおんねん
自分の手札からこう出すやろ
で向こうになんかそれが醍醐味でもあんねんポーカーの
うんそれをやらんタイプやろなーっていう
向こうにさっきめくらさんやろ
なんかわからんじゃん
でそろばんやってる女タレントがおって
そろばんやってたんやすげーなー
うわーそろばんやってたこいつはすごいぞえ何年やってた2年やってました2年すごいなーってなってるときにあのは実はそろばん4年やってても言いませんよ
それが伝わらんねんだからアホばっかり伝わって評価されていくからだから俺みたいな声でかい代弁者がいるんですよ
あはは
ねえ自分でも言わんタイプやろ
あー自分でも言わんタイプやからこれは一生伝わらんかったことかもしれんけど
それが各分野にあるのがすごいな
音楽でもそうやし
バラエティの立ち回りもそうタレントとしてもすごいしお芝居もすごいな声優もすごいっていう各ジャンルもっと言われてもいいわな
あのの周りの痛いやつらばっかり褒められてるわ
あーそういやそうだろもっともっと課題評価課題評価されるべきや
んーまあだからそこがねやっぱあのちゃんのベールの部分なんですよね
だからほんまもうちょっとしたら
何でもこう面白く自虐でラジオでも喋ったりするやん
いや痛いってたまに言われるけどねやっぱ
いやその損してんなあ今
あーそれはそうかもなあどうかなあ
まあだから定期的に俺とかまあ俺じゃなくても誰でもええねんけど
まあでもなちょっとやっぱビビってんねんなみんなその才能に
えちょっと僕そんな才能ないよ
音楽のライブの後やからあれやけど音楽やっぱ素晴らしかったよ
嬉しいよ音楽ねやっぱむずいね音楽がその僕のやっぱ届かないなんかあのむなしさとかはやっぱそこもあるもんだ
届かない届くべき人のとこに届いてほしいけど届くべき人のとこに届かないというか
ライブを見に来た人には
